# STRING v12.0 protein-protein interaction subgraph over the NeuroAD gene universe
# (74 PI4AD snapshot genes UNION 50 Open Targets AD targets UNION MECHANISM_GENES = 115 symbols).
# Source: STRING v12.0 https://string-db.org/api/tsv/network (Homo sapiens, taxon 9606),
# fetched 2026-07-11, no credentials. Licensed CC BY 4.0 (bundling a subset is license-clean).
# combined_score is STRING's integrated confidence on the 0-1000 scale (network default cutoff 400).
# This is the offline-first, deterministic PPI network for in-repo RWR/heat-diffusion propagation.
gene_a,gene_b,combined_score,string_version
BCHE,CLU,523,v12.0
BCHE,GSK3B,443,v12.0
BCHE,INS,514,v12.0
BCHE,MAPK1,461,v12.0
BCHE,MAPT,712,v12.0
BCHE,PSEN1,612,v12.0
BCHE,PSEN2,519,v12.0
BCHE,SLC6A3,475,v12.0
BCL2,CALR,640,v12.0
BCL2,CD33,488,v12.0
BCL2,CD4,837,v12.0
BCL2,CDC42,503,v12.0
BCL2,CDK4,815,v12.0
BCL2,CDK5,452,v12.0
BCL2,CDKN1A,820,v12.0
BCL2,CDKN2B,437,v12.0
BCL2,CLU,432,v12.0
BCL2,CTNNB1,781,v12.0
BCL2,EGF,684,v12.0
BCL2,EGFR,839,v12.0
BCL2,ERBB2,849,v12.0
BCL2,ESR1,897,v12.0
BCL2,FN1,785,v12.0
BCL2,FOXO3,730,v12.0
BCL2,FYN,428,v12.0
BCL2,GAPDH,876,v12.0
BCL2,GRB2,643,v12.0
BCL2,GRIN3A,409,v12.0
BCL2,GSK3B,731,v12.0
BCL2,HDAC1,558,v12.0
BCL2,HMGCR,419,v12.0
BCL2,HRAS,938,v12.0
BCL2,HSP90AA1,929,v12.0
BCL2,HSP90AB1,775,v12.0
BCL2,INS,721,v12.0
BCL2,ITGAM,524,v12.0
BCL2,ITGB1,659,v12.0
BCL2,JUN,927,v12.0
BCL2,KIT,707,v12.0
BCL2,KRAS,862,v12.0
BCL2,LOC102723407,929,v12.0
BCL2,LYN,446,v12.0
BCL2,MAPK1,969,v12.0
BCL2,MAPK3,985,v12.0
BCL2,MAPT,413,v12.0
BCL2,MYC,955,v12.0
BCL2,NFKB1,818,v12.0
BCL2,NRAS,764,v12.0
BCL2,PDGFRB,688,v12.0
BCL2,PECAM1,752,v12.0
BCL2,PIK3CA,610,v12.0
BCL2,PIK3R1,675,v12.0
BCL2,PLK1,507,v12.0
BCL2,PSEN1,804,v12.0
BCL2,PSEN2,499,v12.0
BCL2,PTEN,815,v12.0
BCL2,PTK2,585,v12.0
BCL2,PTPN11,458,v12.0
BCL2,PTPRC,662,v12.0
BCL2,RHOA,572,v12.0
BCL2,SHC1,414,v12.0
BCL2,SRC,860,v12.0
BCL2,STAT3,959,v12.0
BCL2,SYK,670,v12.0
BCL2,TLR2,632,v12.0
BCL2,TLR4,724,v12.0
BCL2,TP53,999,v12.0
BIN1,CALM1,445,v12.0
BIN1,CD33,685,v12.0
BIN1,CDC42,550,v12.0
BIN1,CDK5,483,v12.0
BIN1,CLU,955,v12.0
BIN1,CTNNB1,476,v12.0
BIN1,EPHA1,719,v12.0
BIN1,FOXO3,559,v12.0
BIN1,GRB2,899,v12.0
BIN1,HSP90AA1,497,v12.0
BIN1,MAPT,941,v12.0
BIN1,MS4A6A,764,v12.0
BIN1,MYC,999,v12.0
BIN1,PICALM,892,v12.0
BIN1,PSEN1,611,v12.0
BIN1,PSEN2,608,v12.0
BIN1,PTK2,597,v12.0
BIN1,SORL1,798,v12.0
BIN1,SRC,712,v12.0
BIN1,TREM2,647,v12.0
CALM1,CDC42,775,v12.0
CALM1,CDK4,444,v12.0
CALM1,CDK5,486,v12.0
CALM1,EGFR,852,v12.0
CALM1,ERBB2,517,v12.0
CALM1,ESR1,941,v12.0
CALM1,GAPDH,407,v12.0
CALM1,GRB2,518,v12.0
CALM1,GRIN1,944,v12.0
CALM1,GRIN2A,605,v12.0
CALM1,GRIN2B,505,v12.0
CALM1,GRIN2C,552,v12.0
CALM1,GRIN2D,513,v12.0
CALM1,HRAS,637,v12.0
CALM1,HSP90AA1,762,v12.0
CALM1,KRAS,899,v12.0
CALM1,MAPT,771,v12.0
CALM1,MYC,740,v12.0
CALM1,NRAS,585,v12.0
CALM1,PIK3R1,586,v12.0
CALM1,PLCG1,551,v12.0
CALM1,SHC1,416,v12.0
CALM1,SORL1,435,v12.0
CALM1,SRC,642,v12.0
CALM1,STAT3,442,v12.0
CALM1,SYK,562,v12.0
CALR,CD4,609,v12.0
CALR,EGFR,469,v12.0
CALR,ESR1,475,v12.0
CALR,FGB,427,v12.0
CALR,FN1,427,v12.0
CALR,GAPDH,757,v12.0
CALR,HRAS,414,v12.0
CALR,HSP90AA1,968,v12.0
CALR,HSP90AB1,975,v12.0
CALR,INS,402,v12.0
CALR,ITGAM,402,v12.0
CALR,ITGB1,524,v12.0
CALR,ITGB3,430,v12.0
CALR,JUN,431,v12.0
CALR,KIT,432,v12.0
CALR,KRAS,502,v12.0
CALR,MYC,484,v12.0
CALR,NCK1,443,v12.0
CALR,NRAS,481,v12.0
CALR,PTPN11,454,v12.0
CALR,STAT3,483,v12.0
CALR,TLR2,614,v12.0
CALR,TLR4,953,v12.0
CALR,TP53,556,v12.0
CBL,CD33,736,v12.0
CBL,CDC42,912,v12.0
CBL,CRK,999,v12.0
CBL,CRKL,999,v12.0
CBL,CSF1R,964,v12.0
CBL,CTNNB1,910,v12.0
CBL,EGF,859,v12.0
CBL,EGFR,999,v12.0
CBL,ERBB2,944,v12.0
CBL,FN1,944,v12.0
CBL,FYN,998,v12.0
CBL,GAPDH,509,v12.0
CBL,GRB2,999,v12.0
CBL,HRAS,455,v12.0
CBL,HSP90AA1,667,v12.0
CBL,INS,445,v12.0
CBL,JUN,611,v12.0
CBL,KIT,957,v12.0
CBL,LYN,987,v12.0
CBL,MAPK3,456,v12.0
CBL,NCK1,958,v12.0
CBL,NCK2,710,v12.0
CBL,NRAS,543,v12.0
CBL,PDGFRB,589,v12.0
CBL,PICALM,526,v12.0
CBL,PIK3CA,887,v12.0
CBL,PIK3CB,890,v12.0
CBL,PIK3R1,999,v12.0
CBL,PIK3R2,954,v12.0
CBL,PLCG1,984,v12.0
CBL,PLCG2,843,v12.0
CBL,PTEN,687,v12.0
CBL,PTK2,893,v12.0
CBL,PTPN11,951,v12.0
CBL,PTPRC,405,v12.0
CBL,SHC1,996,v12.0
CBL,SLC6A3,540,v12.0
CBL,SRC,999,v12.0
CBL,STAT3,880,v12.0
CBL,SYK,997,v12.0
CBL,UBB,951,v12.0
CD33,CD4,869,v12.0
CD33,CLU,790,v12.0
CD33,CR1,645,v12.0
CD33,CRKL,601,v12.0
CD33,CSF1R,615,v12.0
CD33,EGFR,418,v12.0
CD33,EPHA1,660,v12.0
CD33,ERBB2,507,v12.0
CD33,ITGAM,850,v12.0
CD33,ITGB3,551,v12.0
CD33,KIT,898,v12.0
CD33,LOC102723407,447,v12.0
CD33,MAPT,483,v12.0
CD33,MS4A6A,766,v12.0
CD33,PECAM1,511,v12.0
CD33,PICALM,756,v12.0
CD33,PLCG1,625,v12.0
CD33,PSEN1,535,v12.0
CD33,PSEN2,567,v12.0
CD33,PTPN11,863,v12.0
CD33,PTPRC,819,v12.0
CD33,SHC1,404,v12.0
CD33,SORL1,809,v12.0
CD33,SRC,449,v12.0
CD33,STAT3,471,v12.0
CD33,SYK,654,v12.0
CD33,TLR2,449,v12.0
CD33,TLR4,675,v12.0
CD33,TP53,442,v12.0
CD33,TREM2,954,v12.0
CD4,CDC42,463,v12.0
CD4,CDK4,415,v12.0
CD4,CDKN1A,409,v12.0
CD4,CR1,563,v12.0
CD4,CSF1R,755,v12.0
CD4,CTNNB1,700,v12.0
CD4,EGF,583,v12.0
CD4,EGFR,640,v12.0
CD4,ERBB2,676,v12.0
CD4,ESR1,550,v12.0
CD4,FN1,916,v12.0
CD4,FOXO3,452,v12.0
CD4,FYN,980,v12.0
CD4,GAPDH,759,v12.0
CD4,GRB2,436,v12.0
CD4,GSK3B,429,v12.0
CD4,HDAC1,438,v12.0
CD4,HSP90AA1,540,v12.0
CD4,HSP90AB1,540,v12.0
CD4,INS,829,v12.0
CD4,ITGAM,943,v12.0
CD4,ITGB1,631,v12.0
CD4,ITGB3,489,v12.0
CD4,JUN,626,v12.0
CD4,KIT,778,v12.0
CD4,KRAS,589,v12.0
CD4,LOC102723407,701,v12.0
CD4,LYN,700,v12.0
CD4,MAPK1,594,v12.0
CD4,MAPK3,710,v12.0
CD4,MYC,663,v12.0
CD4,NFKB1,858,v12.0
CD4,NRAS,415,v12.0
CD4,PDGFRB,424,v12.0
CD4,PECAM1,746,v12.0
CD4,PICALM,534,v12.0
CD4,PIK3R1,499,v12.0
CD4,PLCG1,737,v12.0
CD4,PLCG2,400,v12.0
CD4,PTEN,602,v12.0
CD4,PTK2,859,v12.0
CD4,PTPN11,783,v12.0
CD4,PTPRC,981,v12.0
CD4,RHOA,450,v12.0
CD4,SRC,728,v12.0
CD4,STAT3,892,v12.0
CD4,SYK,981,v12.0
CD4,TLR2,814,v12.0
CD4,TLR4,902,v12.0
CD4,TP53,703,v12.0
CD4,TREM2,414,v12.0
